0.128	113.492	88.454	-6.668	-8.548	-0.119	0.100
0.872	113.494	88.438	-6.681	-8.535	-0.123	0.104
1.850	113.495	88.423	-6.692	-8.522	-0.126	0.108
2.846	113.497	88.407	-6.704	-8.509	-0.130	0.112
3.846	113.499	88.392	-6.714	-8.496	-0.133	0.115
4.894	113.500	88.375	-6.725	-8.481	-0.136	0.119
5.897	113.502	88.360	-6.734	-8.467	-0.139	0.122
6.883	113.503	88.345	-6.743	-8.452	-0.142	0.124
7.872	113.505	88.331	-6.752	-8.438	-0.145	0.126
8.864	113.506	88.316	-6.760	-8.423	-0.147	0.127
9.853	113.508	88.302	-6.768	-8.407	-0.150	0.128
10.846	113.509	88.288	-6.775	-8.391	-0.152	0.128
11.842	113.511	88.274	-6.782	-8.374	-0.154	0.127
12.824	113.513	88.260	-6.789	-8.356	-0.156	0.125
13.813	113.515	88.246	-6.795	-8.338	-0.158	0.123
14.799	113.516	88.233	-6.800	-8.320	-0.160	0.120
15.788	113.518	88.219	-6.805	-8.300	-0.162	0.116
16.784	113.519	88.206	-6.810	-8.280	-0.163	0.111
17.769	113.520	88.192	-6.814	-8.259	-0.165	0.106
18.755	113.521	88.179	-6.817	-8.238	-0.166	0.100
19.744	113.522	88.165	-6.820	-8.217	-0.167	0.094
20.718	113.522	88.152	-6.822	-8.195	-0.169	0.088
21.722	113.522	88.138	-6.823	-8.174	-0.170	0.083
22.707	113.523	88.125	-6.824	-8.153	-0.171	0.078
23.601	113.523	88.114	-6.824	-8.135	-0.171	0.075
24.604	113.526	88.103	-6.827	-8.116	-0.172	0.072
25.579	113.533	88.098	-6.831	-8.092	-0.172	0.060
26.571	113.544	88.094	-6.837	-8.061	-0.172	0.039
27.575	113.554	88.091	-6.846	-8.029	-0.172	0.014
28.549	113.562	88.085	-6.858	-7.996	-0.172	-0.012
29.546	113.566	88.075	-6.873	-7.962	-0.171	-0.042
30.546	113.568	88.063	-6.890	-7.929	-0.171	-0.073
31.524	113.568	88.049	-6.910	-7.898	-0.170	-0.103
32.524	113.564	88.031	-6.935	-7.866	-0.169	-0.135
33.516	113.559	88.011	-6.964	-7.834	-0.168	-0.165
34.498	113.552	87.990	-6.997	-7.804	-0.166	-0.192
35.498	113.544	87.969	-7.037	-7.774	-0.165	-0.217
36.476	113.538	87.949	-7.080	-7.746	-0.164	-0.238
37.469	113.532	87.930	-7.129	-7.721	-0.162	-0.255
38.461	113.528	87.913	-7.182	-7.700	-0.161	-0.267
39.436	113.526	87.898	-7.238	-7.683	-0.160	-0.274
40.429	113.526	87.885	-7.297	-7.672	-0.158	-0.275
41.429	113.526	87.877	-7.342	-7.667	-0.157	-0.272
42.399	113.528	87.867	-7.400	-7.664	-0.156	-0.265
43.377	113.530	87.858	-7.455	-7.664	-0.154	-0.255
44.374	113.533	87.850	-7.508	-7.667	-0.152	-0.242
45.374	113.537	87.842	-7.557	-7.670	-0.150	-0.227
46.366	113.540	87.834	-7.602	-7.672	-0.148	-0.213
47.366	113.543	87.827	-7.642	-7.672	-0.146	-0.199
48.359	113.548	87.822	-7.675	-7.669	-0.144	-0.187
49.355	113.554	87.818	-7.703	-7.662	-0.141	-0.178
50.341	113.561	87.815	-7.727	-7.650	-0.138	-0.173
51.326	113.570	87.815	-7.749	-7.633	-0.135	-0.173
52.326	113.581	87.817	-7.770	-7.610	-0.131	-0.178
53.311	113.594	87.821	-7.790	-7.581	-0.128	-0.188
54.300	113.609	87.828	-7.808	-7.547	-0.124	-0.204
55.297	113.626	87.837	-7.824	-7.507	-0.120	-0.226
56.282	113.645	87.848	-7.836	-7.463	-0.117	-0.252
57.271	113.664	87.861	-7.845	-7.416	-0.113	-0.283
58.264	113.684	87.874	-7.851	-7.364	-0.108	-0.316
59.253	113.703	87.886	-7.857	-7.312	-0.104	-0.352
60.238	113.717	87.895	-7.860	-7.267	-0.101	-0.383
61.194	113.731	87.903	-7.864	-7.220	-0.097	-0.414
62.121	113.743	87.910	-7.867	-7.171	-0.093	-0.447
63.216	113.755	87.915	-7.873	-7.115	-0.088	-0.485
64.135	113.762	87.917	-7.878	-7.068	-0.083	-0.515
65.114	113.768	87.917	-7.886	-7.021	-0.078	-0.544
66.135	113.772	87.915	-7.895	-6.974	-0.073	-0.572
67.044	113.775	87.913	-7.904	-6.934	-0.068	-0.595
68.132	113.778	87.908	-7.915	-6.888	-0.063	-0.618
69.026	113.780	87.904	-7.924	-6.853	-0.058	-0.635
70.084	113.783	87.899	-7.933	-6.814	-0.052	-0.651
71.011	113.786	87.895	-7.940	-6.784	-0.048	-0.662
72.066	113.788	87.890	-7.948	-6.754	-0.042	-0.670
73.015	113.791	87.885	-7.954	-6.732	-0.037	-0.671
74.059	113.792	87.878	-7.960	-6.713	-0.032	-0.667
75.007	113.792	87.872	-7.965	-6.702	-0.027	-0.657
76.018	113.791	87.864	-7.970	-6.697	-0.022	-0.641
77.015	113.789	87.855	-7.973	-6.697	-0.017	-0.620
78.000	113.786	87.846	-7.976	-6.701	-0.012	-0.594
78.996	113.783	87.837	-7.978	-6.708	-0.007	-0.565
79.989	113.780	87.830	-7.979	-6.715	-0.003	-0.543
80.978	113.776	87.821	-7.982	-6.724	0.002	-0.514
81.971	113.772	87.813	-7.985	-6.728	0.007	-0.487
82.960	113.769	87.805	-7.991	-6.727	0.012	-0.464
83.952	113.765	87.796	-7.999	-6.720	0.018	-0.446
84.952	113.759	87.786	-8.010	-6.707	0.023	-0.433
85.941	113.752	87.774	-8.025	-6.688	0.029	-0.428
86.930	113.742	87.759	-8.043	-6.665	0.035	-0.427
87.919	113.729	87.742	-8.064	-6.637	0.041	-0.432
88.912	113.714	87.724	-8.087	-6.607	0.047	-0.440
89.905	113.698	87.704	-8.114	-6.574	0.053	-0.451
90.897	113.680	87.684	-8.143	-6.540	0.059	-0.463
91.890	113.662	87.664	-8.178	-6.505	0.065	-0.476
92.886	113.644	87.646	-8.218	-6.468	0.072	-0.490
93.879	113.627	87.630	-8.263	-6.432	0.078	-0.503
94.876	113.614	87.617	-8.314	-6.394	0.085	-0.516
95.868	113.603	87.609	-8.370	-6.357	0.091	-0.529
96.850	113.597	87.606	-8.430	-6.319	0.098	-0.541
97.846	113.595	87.608	-8.496	-6.280	0.105	-0.553
98.835	113.597	87.612	-8.553	-6.249	0.110	-0.562
99.828	113.600	87.619	-8.620	-6.214	0.116	-0.573
100.810	113.606	87.628	-8.693	-6.177	0.123	-0.585
101.813	113.612	87.638	-8.767	-6.141	0.130	-0.596
102.813	113.619	87.648	-8.839	-6.107	0.137	-0.607
103.810	113.627	87.658	-8.908	-6.076	0.144	-0.616
104.795	113.635	87.668	-8.972	-6.048	0.151	-0.623
105.784	113.644	87.679	-9.033	-6.023	0.158	-0.628
106.780	113.654	87.689	-9.091	-6.001	0.166	-0.631
107.773	113.664	87.700	-9.144	-5.982	0.173	-0.633
108.769	113.674	87.710	-9.191	-5.966	0.180	-0.634
